Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1739856584.5363798,-0.99,-0.001,-0.006,0.021,1739856584.5363677,1.01,-2.3,1739856584.5358217,0,1739856584.5362644,-0.8000000000000003,-0.008000000000000004,1739856584.5364194,3000.0,100.00095369796384,999.013671875,25.0
1739856585.5690749,-0.99,-0.001,-0.006,0.021,1739856585.569033,1.01,-2.3,1739856585.550035,0,1739856585.5687869,-0.8000000000000003,-0.008000000000000004,1739856585.5691009,3000.0,100.00095369796384,999.013671875,25.0
1739856587.5340428,-0.99,-0.001,-0.006,0.021,1739856587.5340304,1.01,-2.3,1739856587.533554,0,1739856587.5338788,-0.8000000000000003,-0.008000000000000004,1739856587.5340528,3000.0,100.00095369796384,999.013671875,25.0
1739856588.5318565,-0.99,-0.001,-0.006,0.021,1739856588.53184,1.01,-2.3,1739856588.531421,0,1739856588.531596,-0.8000000000000003,-0.008000000000000004,1739856588.5318677,3000.0,100.00095369796384,999.013671875,25.0
1739856588.5318565,-0.99,-0.001,-0.006,0.021,1739856588.53184,1.01,-2.3,1739856588.531421,0,1739856588.531596,-0.8000000000000003,-0.008000000000000004,1739856588.5318677,3000.0,100.00095369796384,999.013671875,25.0
1739856589.559292,-0.99,-0.001,-0.006,0.021,1739856589.5592377,1.01,-2.3,1739856589.550598,0,1739856589.558752,-0.8000000000000003,-0.008000000000000004,1739856589.5593255,3000.0,100.00095369796384,999.013671875,25.0
1739856591.574103,-0.99,-0.001,-0.006,0.021,1739856591.5740814,1.01,-2.3,1739856591.5381393,0,1739856591.5737817,-0.8000000000000003,-0.008000000000000004,1739856591.574122,3000.0,100.00095369796384,999.013671875,25.0
1739856592.5482852,-0.99,-0.001,-0.006,0.021,1739856592.5481882,1.01,-2.3,1739856592.538494,0,1739856592.5409951,-0.8000000000000003,-0.008000000000000004,1739856592.5483477,3000.0,100.00095369796384,999.013671875,25.0
1739856593.5391104,-0.99,-0.001,-0.006,0.021,1739856593.5390644,1.01,-2.3,1739856593.538218,0,1739856593.5384681,-0.8000000000000003,-0.008000000000000004,1739856593.5391376,3000.0,100.00095369796384,999.013671875,25.0
1739856653.0006075,-0.99,-0.001,-0.006,0.021,1739856653.0005698,1.01,-2.3,1739856653.0001867,0,1739856653.0004108,-0.8000000000000003,-0.008000000000000004,1739856653.0006204,3000.0,100.00095369796384,999.013671875,25.0
1739856654.0335228,-0.99,-0.001,-0.006,0.021,1739856654.0335064,1.01,-2.3,1739856654.033061,0,1739856654.0332744,-0.8000000000000003,-0.008000000000000004,1739856654.0335355,3000.0,100.00095369796384,999.013671875,25.0
1739856655.0373895,-0.99,-0.001,-0.006,0.021,1739856655.0373666,1.01,-2.3,1739856655.0362072,0,1739856655.036816,-0.8000000000000003,-0.008000000000000004,1739856655.0374355,3000.0,100.00095369796384,999.013671875,25.0
1739856656.0383506,-0.99,-0.001,-0.006,0.021,1739856656.038333,1.01,-2.3,1739856656.0379264,0,1739856656.0381172,-0.8000000000000003,-0.008000000000000004,1739856656.038363,3000.0,100.00095369796384,999.013671875,25.0
1739856657.0369852,-0.99,-0.001,-0.006,0.021,1739856657.0369732,1.01,-2.3,1739856657.036532,0,1739856657.0367494,-0.8000000000000003,-0.008000000000000004,1739856657.036996,3000.0,100.00095369796384,999.013671875,25.0
1739856658.0392387,-0.99,-0.001,-0.006,0.021,1739856658.0392208,1.01,-2.3,1739856658.038253,0,1739856658.038612,-0.8000000000000003,-0.008000000000000004,1739856658.0392506,3000.0,100.00095369796384,999.013671875,25.0
1739856659.0377762,-0.99,-0.001,-0.006,0.021,1739856659.037759,1.01,-2.3,1739856659.037431,0,1739856659.0375593,-0.8000000000000003,-0.008000000000000004,1739856659.0377877,3000.0,100.00095369796384,999.013671875,25.0
