Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint,Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1726512403.3348007,-0.99,-0.001,-0.006,0.021,1726512403.3334692,1.01,-2.3,1726512403.3314629,0,1726512403.3334692,-0.8,-0.008,1726512403.335835,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512404.4836206,-0.99,-0.001,-0.006,0.021,1726512404.4816804,1.01,-2.3,1726512404.4780169,0,1726512404.4812922,-0.8,-0.008,1726512404.4847023,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512405.635199,-0.99,-0.001,-0.006,0.021,1726512405.6341991,1.01,-2.3,1726512405.628282,0,1726512405.6331606,-0.8,-0.008,1726512405.6362038,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512406.802197,-0.99,-0.001,-0.006,0.021,1726512406.8011723,1.01,-2.3,1726512406.7977624,0,1726512406.7998397,-0.8,-0.008,1726512406.8031964,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512408.819733,-0.99,-0.001,-0.006,0.021,1726512408.8186862,1.01,-2.3,1726512408.8151295,0,1726512408.8172626,-0.8,-0.008,1726512408.8206103,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512410.7046912,-0.99,-0.001,-0.006,0.021,1726512410.7037122,1.01,-2.3,1726512410.7006998,0,1726512410.7027314,-0.8,-0.008,1726512410.7057312,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512412.6065943,-0.99,-0.001,-0.006,0.021,1726512412.6055977,1.01,-2.3,1726512412.6026003,0,1726512412.6046,-0.8,-0.008,1726512412.6076038,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512414.6189125,-0.99,-0.001,-0.006,0.021,1726512414.6180265,1.01,-2.3,1726512414.6124485,0,1726512414.6160548,-0.8,-0.008,1726512414.6205246,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512416.5671983,-0.99,-0.001,-0.006,0.021,1726512416.566012,1.01,-2.3,1726512416.5611365,0,1726512416.564756,-0.8,-0.008,1726512416.5682836,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512418.597926,-0.99,-0.001,-0.006,0.021,1726512418.5952384,1.01,-2.3,1726512418.5919664,0,1726512418.5941107,-0.8,-0.008,1726512418.5990863,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512456.2787495,-0.99,-0.001,-0.006,0.021,1726512456.277728,1.01,-2.3,1726512456.2747297,0,1726512456.2767286,-0.8,-0.008,1726512456.2797902,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512458.5415163,-0.99,-0.001,-0.006,0.021,1726512458.540477,1.01,-2.3,1726512458.539009,0,1726512458.540477,-0.8,-0.008,1726512458.542283,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512460.298928,-0.99,-0.001,-0.006,0.021,1726512460.2979186,1.01,-2.3,1726512460.2932677,0,1726512460.295878,-0.8,-0.008,1726512460.29993,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512462.1376376,-0.99,-0.001,-0.006,0.021,1726512462.1366365,1.01,-2.3,1726512462.1332917,0,1726512462.1355946,-0.8,-0.008,1726512462.1386397,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512464.1550376,-0.99,-0.001,-0.006,0.021,1726512464.1550376,1.01,-2.3,1726512464.1510854,0,1726512464.154037,-0.8,-0.008,1726512464.156096,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512465.9815307,-0.99,-0.001,-0.006,0.021,1726512465.9795136,1.01,-2.3,1726512465.9765148,0,1726512465.978507,-0.8,-0.008,1726512465.983538,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512467.8845277,-0.99,-0.001,-0.006,0.021,1726512467.8825443,1.01,-2.3,1726512467.8784575,0,1726512467.8815575,-0.8,-0.008,1726512467.8859603,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512469.8860743,-0.99,-0.001,-0.006,0.021,1726512469.8850935,1.01,-2.3,1726512469.8817403,0,1726512469.8839948,-0.8,-0.008,1726512469.88713,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512471.8772175,-0.99,-0.001,-0.006,0.021,1726512471.8762176,1.01,-2.3,1726512471.873216,0,1726512471.875275,-0.8,-0.008,1726512471.8772175,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512473.8504512,-0.99,-0.001,-0.006,0.021,1726512473.8494503,1.01,-2.3,1726512473.8444457,0,1726512473.8484511,-0.8,-0.008,1726512473.8514464,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512475.7977467,-0.99,-0.001,-0.006,0.021,1726512475.7957225,1.01,-2.3,1726512475.7927287,0,1726512475.7947273,-0.8,-0.008,1726512475.7987251,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512477.747676,-0.99,-0.001,-0.006,0.021,1726512477.7456112,1.01,-2.3,1726512477.7426724,0,1726512477.743672,-0.8,-0.008,1726512477.7486074,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512479.802146,-0.99,-0.001,-0.006,0.021,1726512479.801194,1.01,-2.3,1726512479.7957869,0,1726512479.7991476,-0.8,-0.008,1726512479.8031456,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512481.8357587,-0.99,-0.001,-0.006,0.021,1726512481.8357587,1.01,-2.3,1726512481.8326838,0,1726512481.8347297,-0.8,-0.008,1726512481.836736,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512483.7744517,-0.99,-0.001,-0.006,0.021,1726512483.773491,1.01,-2.3,1726512483.7704077,0,1726512483.7724512,-0.8,-0.008,1726512483.7754486,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512530.188798,-0.99,-0.001,-0.006,0.021,1726512530.188798,1.01,-2.3,1726512530.1857753,0,1726512530.187796,-0.8,-0.008,1726512530.1897972,75.0,99.90095274426588,999.013671875,25.0
1726512532.387166,-0.99,-0.001,-0.006,0.021,1726512532.3861685,1.01,-2.3,1726512532.383985,0,1726512532.3861685,-0.8,-0.008,1726512532.3881614,75.0,99.90095274426588,999.013671875,25.0
1726512534.1979709,-0.99,-0.001,-0.006,0.021,1726512534.1959043,1.01,-2.3,1726512534.1928709,0,1726512534.1949208,-0.8,-0.008,1726512534.198911,75.0,99.90095274426588,999.013671875,25.0
1726512535.9859614,-0.99,-0.001,-0.006,0.021,1726512535.9849923,1.01,-2.3,1726512535.9800754,0,1726512535.9839773,-0.8,-0.008,1726512535.9869545,75.0,99.90095274426588,999.013671875,25.0
1726512537.8060715,-0.99,-0.001,-0.006,0.021,1726512537.8054404,1.01,-2.3,1726512537.802271,0,1726512537.804446,-0.8,-0.008,1726512537.8067896,75.0,99.90095274426588,999.013671875,25.0
1726512539.6514375,-0.99,-0.001,-0.006,0.021,1726512539.649459,1.01,-2.3,1726512539.6449497,0,1726512539.6471627,-0.8,-0.008,1726512539.6519394,75.0,99.90095274426588,999.013671875,25.0
1726512541.8445885,-0.99,-0.001,-0.006,0.021,1726512541.843594,1.01,-2.3,1726512541.8407378,0,1726512541.8425877,-0.8,-0.008,1726512541.8455882,75.0,99.90095274426588,999.013671875,25.0
1726512543.701283,-0.99,-0.001,-0.006,0.021,1726512543.700296,1.01,-2.3,1726512543.694669,0,1726512543.699313,-0.8,-0.008,1726512543.7023573,75.0,99.90095274426588,999.013671875,25.0
1726512545.5750422,-0.99,-0.001,-0.006,0.021,1726512545.5740418,1.01,-2.3,1726512545.5720565,0,1726512545.5740418,-0.8,-0.008,1726512545.5760455,75.0,99.90095274426588,999.013671875,25.0
1726512547.6021953,-0.99,-0.001,-0.006,0.021,1726512547.6010756,1.01,-2.3,1726512547.5970855,0,1726512547.600086,-0.8,-0.008,1726512547.6026924,75.0,99.90095274426588,999.013671875,25.0
1726512549.6382203,-0.99,-0.001,-0.006,0.021,1726512549.6364207,1.01,-2.3,1726512549.6334262,0,1726512549.6354218,-0.8,-0.008,1726512549.6395018,75.0,99.90095274426588,999.013671875,25.0
1726512551.4747803,-0.99,-0.001,-0.006,0.021,1726512551.4737651,1.01,-2.3,1726512551.4711585,0,1726512551.472768,-0.8,-0.008,1726512551.476032,75.0,99.90095274426588,999.013671875,25.0
1726512553.4542139,-0.99,-0.001,-0.006,0.021,1726512553.4531913,1.01,-2.3,1726512553.450066,0,1726512553.4518712,-0.8,-0.008,1726512553.4552138,75.0,99.90095274426588,999.013671875,25.0
1726512555.3405263,-0.99,-0.001,-0.006,0.021,1726512555.3395948,1.01,-2.3,1726512555.3368802,0,1726512555.3385382,-0.8,-0.008,1726512555.3405263,75.0,99.90095274426588,999.013671875,25.0
1726512557.2252917,-0.99,-0.001,-0.006,0.021,1726512557.2242339,1.01,-2.3,1726512557.2201674,0,1726512557.2232454,-0.8,-0.008,1726512557.2252917,75.0,99.90095274426588,999.013671875,25.0
1726512559.1414213,-0.99,-0.001,-0.006,0.021,1726512559.1414213,1.01,-2.3,1726512559.1369512,0,1726512559.1393816,-0.8,-0.008,1726512559.1434128,75.0,99.90095274426588,999.013671875,25.0
1726512561.3374417,-0.99,-0.001,-0.006,0.021,1726512561.3367655,1.01,-2.3,1726512561.3337226,0,1726512561.3357575,-0.8,-0.008,1726512561.338485,75.0,99.90095274426588,999.013671875,25.0
1726512563.3279884,-0.99,-0.001,-0.006,0.021,1726512563.32694,1.01,-2.3,1726512563.323221,0,1726512563.3259177,-0.8,-0.008,1726512563.3289704,75.0,99.90095274426588,999.013671875,25.0
1726512565.418932,-0.99,-0.001,-0.006,0.021,1726512565.4179106,1.01,-2.3,1726512565.413024,0,1726512565.417041,-0.8,-0.008,1726512565.4199364,75.0,99.90095274426588,999.013671875,25.0
1726512567.640543,-0.99,-0.001,-0.006,0.021,1726512567.6394503,1.01,-2.3,1726512567.636054,0,1726512567.6386752,-0.8,-0.008,1726512567.640543,75.0,99.90095274426588,999.013671875,25.0
1726512569.980257,-0.99,-0.001,-0.006,0.021,1726512569.978556,1.01,-2.3,1726512569.9753318,0,1726512569.9775274,-0.8,-0.008,1726512569.98129,75.0,99.90095274426588,999.013671875,25.0
1726512572.7539182,-0.99,-0.001,-0.006,0.021,1726512572.7530367,1.01,-2.3,1726512572.7506251,0,1726512572.7522614,-0.8,-0.008,1726512572.7545042,75.0,99.90095274426588,999.013671875,25.0
