Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint,Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1726795909.743339,-0.99,-0.001,-0.006,0.021,1726795909.7422602,1.01,-2.3,1726795909.7413206,0,1726795909.7422602,-0.8,-0.008,1726795909.743939,75.0,99.90095274426588,999.013671875,25.0
1726795910.7534604,-0.99,-0.001,-0.006,0.021,1726795910.7534604,1.01,-2.3,1726795910.751217,0,1726795910.7524402,-0.8,-0.008,1726795910.7547643,75.0,99.90095274426588,999.013671875,25.0
1726795911.7687004,-0.99,-0.001,-0.006,0.021,1726795911.7680676,1.01,-2.3,1726795911.7664733,0,1726795911.7675676,-0.8,-0.008,1726795911.7688684,75.0,99.90095274426588,999.013671875,25.0
1726795912.794639,-0.99,-0.001,-0.006,0.021,1726795912.794639,1.01,-2.3,1726795912.7935774,0,1726795912.794639,-0.8,-0.008,1726795912.795639,75.0,99.90095274426588,999.013671875,25.0
1726795913.7995524,-0.99,-0.001,-0.006,0.021,1726795913.7995524,1.01,-2.3,1726795913.795161,0,1726795913.7961602,-0.8,-0.008,1726795913.8005998,75.0,99.90095274426588,999.013671875,25.0
1726795959.4442658,-0.99,-0.001,-0.006,0.021,1726795959.4433367,1.01,-2.3,1726795959.4418025,0,1726795959.44277,-0.8,-0.008,1726795959.444942,75.0,99.90095274426588,999.013671875,25.0
1726795960.4407356,-0.99,-0.001,-0.006,0.021,1726795960.4399614,1.01,-2.3,1726795960.4383335,0,1726795960.4397464,-0.8,-0.008,1726795960.441281,75.0,99.90095274426588,999.013671875,25.0
1726795961.4724393,-0.99,-0.001,-0.006,0.021,1726795961.4724393,1.01,-2.3,1726795961.470625,0,1726795961.4719405,-0.8,-0.008,1726795961.4731047,75.0,99.90095274426588,999.013671875,25.0
1726795962.5010788,-0.99,-0.001,-0.006,0.021,1726795962.5010788,1.01,-2.3,1726795962.496173,0,1726795962.4996006,-0.8,-0.008,1726795962.502326,75.0,99.90095274426588,999.013671875,25.0
1726795963.5002255,-0.99,-0.001,-0.006,0.021,1726795963.5002255,1.01,-2.3,1726795963.4966207,0,1726795963.4993846,-0.8,-0.008,1726795963.5015545,75.0,99.90095274426588,999.013671875,25.0
1726795964.496736,-0.99,-0.001,-0.006,0.021,1726795964.495935,1.01,-2.3,1726795964.4948332,0,1726795964.495935,-0.8,-0.008,1726795964.496736,75.0,99.90095274426588,999.013671875,25.0
1726795965.5131783,-0.99,-0.001,-0.006,0.021,1726795965.5122693,1.01,-2.3,1726795965.5111103,0,1726795965.5122693,-0.8,-0.008,1726795965.5131783,75.0,99.90095274426588,999.013671875,25.0
1726795966.5181584,-0.99,-0.001,-0.006,0.021,1726795966.5181584,1.01,-2.3,1726795966.5162652,0,1726795966.517659,-0.8,-0.008,1726795966.5190425,75.0,99.90095274426588,999.013671875,25.0
1726795967.0166254,-0.99,-0.001,-0.006,0.021,1726795967.0156026,1.01,-2.3,1726795967.013862,0,1726795967.0145874,-0.8,-0.008,1726795967.0176058,75.0,99.90095274426588,999.013671875,25.0
1726795967.5392594,-0.99,-0.001,-0.006,0.021,1726795967.5374134,1.01,-2.3,1726795967.5310347,0,1726795967.5369132,-0.8,-0.008,1726795967.5396674,75.0,99.90095274426588,999.013671875,25.0
1726795968.0450711,-0.99,-0.001,-0.006,0.021,1726795968.0448363,1.01,-2.3,1726795968.0434196,0,1726795968.0443416,-0.8,-0.008,1726795968.0450711,75.0,99.90095274426588,999.013671875,25.0
1726795968.752984,-0.99,-0.001,-0.006,0.021,1726795968.752272,1.01,-2.3,1726795968.7515252,0,1726795968.752272,-0.8,-0.008,1726795968.7533417,75.0,99.90095274426588,999.013671875,25.0
1726795969.7620103,-0.99,-0.001,-0.006,0.021,1726795969.7620103,1.01,-2.3,1726795969.7599545,0,1726795969.761019,-0.8,-0.008,1726795969.7628717,75.0,99.90095274426588,999.013671875,25.0
1726795970.776164,-0.99,-0.001,-0.006,0.021,1726795970.776164,1.01,-2.3,1726795970.7738318,0,1726795970.7752144,-0.8,-0.008,1726795970.7770383,75.0,99.90095274426588,999.013671875,25.0
1726795971.7689161,-0.99,-0.001,-0.006,0.021,1726795971.7674367,1.01,-2.3,1726795971.764227,0,1726795971.7664397,-0.8,-0.008,1726795971.7694507,75.0,99.90095274426588,999.013671875,25.0
1726795972.7809331,-0.99,-0.001,-0.006,0.021,1726795972.779894,1.01,-2.3,1726795972.7790263,0,1726795972.779894,-0.8,-0.008,1726795972.782627,75.0,99.90095274426588,999.013671875,25.0
1726795973.7791848,-0.99,-0.001,-0.006,0.021,1726795973.77831,1.01,-2.3,1726795973.777072,0,1726795973.77831,-0.8,-0.008,1726795973.7797403,75.0,99.90095274426588,999.013671875,25.0
1726795974.794364,-0.99,-0.001,-0.006,0.021,1726795974.7938628,1.01,-2.3,1726795974.7922454,0,1726795974.792958,-0.8,-0.008,1726795974.7948883,75.0,99.90095274426588,999.013671875,25.0
1726795975.796185,-0.99,-0.001,-0.006,0.021,1726795975.795684,1.01,-2.3,1726795975.793694,0,1726795975.7950876,-0.8,-0.008,1726795975.796185,75.0,99.90095274426588,999.013671875,25.0
1726797492.4023025,-0.99,-0.001,-0.006,0.021,1726797492.4023025,1.01,-2.3,1726797492.400238,0,1726797492.4013238,-0.8,-0.008,1726797492.4043374,75.0,99.90095274426588,999.013671875,25.0
1726797493.4091625,-0.99,-0.001,-0.006,0.021,1726797493.4091625,1.01,-2.3,1726797493.4049275,0,1726797493.4081123,-0.8,-0.008,1726797493.4101455,75.0,99.90095274426588,999.013671875,25.0
1726797494.4053051,-0.99,-0.001,-0.006,0.021,1726797494.4043171,1.01,-2.3,1726797494.4013038,0,1726797494.4043171,-0.8,-0.008,1726797494.4064023,75.0,99.90095274426588,999.013671875,25.0
